[2026-01-08 22:55:40] ==================================================
[2026-01-08 22:55:40] SERVER START
[2026-01-08 22:55:40] ==================================================
[2026-01-08 22:58:43] ==================================================
[2026-01-08 22:58:43] SERVER STOP
[2026-01-08 22:58:43] ==================================================
[2026-01-08 22:58:53] ==================================================
[2026-01-08 22:58:53] SERVER START
[2026-01-08 22:58:53] ==================================================
[2026-01-08 22:58:56] ==================================================
[2026-01-08 22:58:56] SERVER STOP
[2026-01-08 22:58:56] ==================================================
[2026-01-08 23:01:34] ==================================================
[2026-01-08 23:01:34] SERVER START
[2026-01-08 23:01:34] ==================================================
[2026-01-08 23:04:23] 127.0.0.1:50336 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:06:01] 127.0.0.1:41422 | "GET /index.html HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=702
[2026-01-08 23:06:59] 127.0.0.1:57648 | "CONNECT  HTTP/1.0" | example.com:443 | ALLOWED | 200 | bytes=6100
[2026-01-08 23:07:41] 127.0.0.1:47880 | "CONNECT  HTTP/1.0" | example.com:443 | ALLOWED | 200 | bytes=6061
[2026-01-08 23:08:25] 127.0.0.1:37746 | "GET / HTTP/1.0" | blocked.com:80 | BLOCKED | 403 | bytes=0
[2026-01-08 23:09:16] 127.0.0.1:50432 | "GET / HTTP/1.0" | asinth.blocked.com:80 | BLOCKED | 403 | bytes=0
[2026-01-08 23:09:37] 127.0.0.1:57466 | "CONNECT  HTTP/1.0" | secure.blocked.com:443 | BLOCKED | 403 | bytes=0
[2026-01-08 23:10:23] 127.0.0.1:52842 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:23] 127.0.0.1:52858 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52866 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52876 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52886 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52898 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52914 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52916 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52932 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52934 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:24] 127.0.0.1:52946 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52958 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52968 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52970 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52982 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52986 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52994 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:52996 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:53002 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:25] 127.0.0.1:53016 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:26] 127.0.0.1:53026 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:26] 127.0.0.1:53042 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:26] 127.0.0.1:53046 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:26] 127.0.0.1:53060 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:10:26] 127.0.0.1:53068 | "GET / HTTP/1.0" | example.com:80 | ALLOWED | 200 | bytes=783
[2026-01-08 23:14:07] ==================================================
[2026-01-08 23:14:07] SERVER STOP
[2026-01-08 23:14:07] ==================================================
